Year,Geography,Measure type,Annual Mean Temperature,Unit of Measure
1995,Scotland trend,Annual Mean Temperature,7.474298271,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1913,Northern Ireland,Annual Mean Temperature,8.363774301,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1885,Scotland trend,Annual Mean Temperature,6.538229612,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1924,Northern Ireland,Annual Mean Temperature,8.337579208,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1896,Scotland trend,Annual Mean Temperature,6.780700401,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1935,Northern Ireland,Annual Mean Temperature,8.44020063,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2019,Wales trend,Annual Mean Temperature,9.588526732,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1946,Northern Ireland,Annual Mean Temperature,8.520263836,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2008,Wales trend,Annual Mean Temperature,9.475751929,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1957,Northern Ireland,Annual Mean Temperature,8.908361233,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1968,Northern Ireland,Annual Mean Temperature,8.395225082,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1979,Northern Ireland,Annual Mean Temperature,7.632389233,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2006,Scotland trend,Annual Mean Temperature,7.772709933,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1898,Wales trend,Annual Mean Temperature,8.383660003,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2017,Scotland trend,Annual Mean Temperature,7.809295937,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1887,Wales trend,Annual Mean Temperature,8.053016063,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1902,UK,Annual Mean Temperature,7.725575014,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1997,Wales trend,Annual Mean Temperature,9.272704407,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1913,UK,Annual Mean Temperature,8.592562959,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1924,UK,Annual Mean Temperature,8.191917049,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1986,Wales trend,Annual Mean Temperature,8.787691317,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1975,Wales trend,Annual Mean Temperature,8.602097276,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1935,UK,Annual Mean Temperature,8.521009342,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1946,UK,Annual Mean Temperature,8.349250712,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1964,Wales trend,Annual Mean Temperature,8.568427782,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1957,UK,Annual Mean Temperature,8.836948082,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1953,Wales trend,Annual Mean Temperature,8.748699131,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1942,Wales trend,Annual Mean Temperature,8.781687426,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1968,UK,Annual Mean Temperature,8.156050765,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1931,Wales trend,Annual Mean Temperature,8.647568157,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1979,UK,Annual Mean Temperature,7.594574274,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1920,Wales trend,Annual Mean Temperature,8.56016589,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1949,England trend,Annual Mean Temperature,9.180469075,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1938,England trend,Annual Mean Temperature,9.133662379,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1927,England trend,Annual Mean Temperature,8.962359339,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1916,England trend,Annual Mean Temperature,8.868767029,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1940,Scotland trend,Annual Mean Temperature,7.186914661,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1905,England trend,Annual Mean Temperature,8.835181775,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1951,Scotland trend,Annual Mean Temperature,7.151779509,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2010,England,Annual Mean Temperature,8.758571973,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1962,Scotland trend,Annual Mean Temperature,6.996139023,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1973,Scotland trend,Annual Mean Temperature,6.997606311,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1902,Northern Ireland,Annual Mean Temperature,8.089686493,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1984,Scotland trend,Annual Mean Temperature,7.080098697,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1947,UK,Annual Mean Temperature,8.373648384,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1974,Scotland trend,Annual Mean Temperature,6.99833675,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1914,Northern Ireland,Annual Mean Temperature,8.560355068,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1958,UK,Annual Mean Temperature,8.251247233,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1985,Scotland trend,Annual Mean Temperature,7.092962393,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1925,Northern Ireland,Annual Mean Temperature,8.292866521,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1996,Scotland trend,Annual Mean Temperature,7.513793189,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1969,UK,Annual Mean Temperature,8.115813178,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1936,Northern Ireland,Annual Mean Temperature,8.263464208,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1886,Scotland trend,Annual Mean Temperature,6.548408865,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1947,Northern Ireland,Annual Mean Temperature,8.53217463,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1897,Scotland trend,Annual Mean Temperature,6.803498783,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1958,Northern Ireland,Annual Mean Temperature,8.580226493,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2020,England,Annual Mean Temperature,10.56353306,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1969,Northern Ireland,Annual Mean Temperature,8.130422411,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2018,Wales trend,Annual Mean Temperature,9.588357187,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2007,Wales trend,Annual Mean Temperature,9.472061092,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2007,Scotland trend,Annual Mean Temperature,7.779292314,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2018,Scotland trend,Annual Mean Temperature,7.80532543,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1897,Wales trend,Annual Mean Temperature,8.360852877,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1886,Wales trend,Annual Mean Temperature,8.03554739,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1996,Wales trend,Annual Mean Temperature,9.232276,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1985,Wales trend,Annual Mean Temperature,8.758184251,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1974,Wales trend,Annual Mean Temperature,8.590823349,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1963,Wales trend,Annual Mean Temperature,8.572761293,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1952,Wales trend,Annual Mean Temperature,8.761813194,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1941,Wales trend,Annual Mean Temperature,8.773157441,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1930,Wales trend,Annual Mean Temperature,8.630519286,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1959,England trend,Annual Mean Temperature,9.027423124,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1948,England trend,Annual Mean Temperature,9.190121329,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1930,Scotland trend,Annual Mean Temperature,7.041118365,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1903,UK,Annual Mean Temperature,8.019626877,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1937,England trend,Annual Mean Temperature,9.121788597,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1941,Scotland trend,Annual Mean Temperature,7.188296128,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1914,UK,Annual Mean Temperature,8.695387288,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1926,England trend,Annual Mean Temperature,8.953430335,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1915,England trend,Annual Mean Temperature,8.866968076,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1925,UK,Annual Mean Temperature,8.123022658,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1952,Scotland trend,Annual Mean Temperature,7.138017765,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1904,England trend,Annual Mean Temperature,8.830803828,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1963,Scotland trend,Annual Mean Temperature,6.985178244,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
